# Deutsches Sprachdatei für Wippien
# Author: torsten.wagner@vnc-world.com
# Version: 1
Keine Fehler.  ## No error.
Das System kann die genannte Datei nicht finden.  ## The system cannot find the file specified.
Das System kann das genannte Verzeichnis nicht finden.  ## The system cannot find the path specified.
Das Systemm kann das Verzeichnis/die Datei nicht finden.  ## The system cannot find the specified file/directory.
Typ falsch angepasst.  ## Type mismatch.
Ich kann nicht eine Datei oder Ordner erstellen der schon vorhanden ist.  ## Cannot create a file/directory when that file/directory already exists.
Das System kann nicht auf den Datenträger schreiben.  ## The system cannot write to the specified device.
Falscher Wert  ## Invalid Property Value.
Die Operation wurde wegen Überschreitung der zul. Ausführungszeit abgebrochen.  ## This operation returned because the timeout period expired.
Der Systemstatus ist defekt und beeinträchtigt die Schnittstellenfunktionen.  ## System level interrupt interrupted socket operation.
Allgemeiner Fehler für defekte Formate, falsche Formate, etc. ...  ## Generic error for invalid format, bad format.
Es wurde versucht auf eine Schnittstelle zuzugreifen, die für die vorliegenden Zugriffsrechte verboten ist.  ## An attempt was made to access a socket in a way forbidden by its access permissions.
Das System entdeckte eine nicht zulässige Adresse während des Versuchs einen zentralen Parameter aufzurufen.  ## The system detected an invalid pointer address in attempting to use a pointer argument in a call.
Allgemeiner Fehler für defekte Formate, Einträge, etc. ...  ## Generic error for invalid format, entry, etc.
Ein unzulässiges Argument wird unterstützt.  ## An invalid argument was supplied.
Die angegebene IP Adresse ist nicht gültig oder der definierte Host mit der IP Adresse existiert nicht.  ## The IP address provided is not valid or the host specified by the IP does not exist.
Unzulässige Schnittstelle oder keine Verbidnung zum Remotehost.  ## Invalid socket or not connected to remote.
Die definierte Adresse wird bereits verwendet.  ## The specified address is already in use.
Die definierte Adresse ist nicht verfügbar.  ## The specified address is not available.
Das verbundene Netzwerk ist nicht verfügbar.  ## The connected network is not available.
Das verbundene Netzwerk ist nicht erreichbar.  ## The connected network is not reachable.
Die Netzwerkverbindung wird neu eingestellt.  ## The connected network connection has been reset.
Die Verbindung wurde deaktiviert oder stellt den Dienst nicht mehr zur Verfügung.  ## The current connection has been aborted by the network or intermediate services.
Die aktuelle Verbindungsschnittstelle wurde neu gestartet.  ## The current socket connection has been reset.
Die aktuelle Verbindung wurde nicht bestätigt.  ## The current socket has not been connected.
Die Verbindung wurde beendet.  ## The connection has been shutdown.
Die aktuelle Verbindung ist nicht mehr aktiv.  ## The current connection has timeout.
Die Verbindungsanfrage wurde vom Remotehost verweigert.  ## The requested connection has been refused by the remote host.
Der gewählte Hostname ist zu lang.  ## Specified host name is too long.
Der Remotecomputer ist zurzeit nicht bekannt.  ## Remote host is currently unavailable.
Der Remotecomputer ist zurzeit nicht erreichbar.  ## Remote host is currently unreachable. 
Remotesystem ist nicht bereit.  ## Remote system is not ready.
Die aktuelle Schnittstellenausführung wird von der Anwendung nicht unterstützt.  ## Current socket version not supported by application.
Softwareschnittstelle kann nicht zur Verfügung gestellt werden.  ## Socket API is not initialized.
Die Anbindung wurde unterbrochen.  ## Socket has been disconnected.
Host nicht gefunden.  ## Host not found.
Es ist nicht genügend Arbeitsspeicher für die Operation vorhanden.  ## Not enough memory is available to complete this operation.
Unbekannter Suchtyp.  ## Unknown search type.
Unbekannter Parameter für die Suche.  ## Unknown argument for Search method.
Bereits gestartet  ## Already started.
Kanal wird bereits verwendet.  ## Channel already started.
Während eine bestehenden Verbindung kann keine Änderung vorgenomen werden.  ## Cannot change channel setup while channel is started.
Zu hoher Datenverkehr. Später noch einmal versuchen.  ## Too much data on the socket. Try later.
Verbindung kann nicht hergestellt werden.  ## Connection not established.
Unbekannter Dateityp.  ## Unknown data type.
Socketverbindung fehlgeschlagen.  ## Failed to create socket thread.
Unbekannter Verbindungstyp  ## Unknown channel type.
Lokale Einstellungen unterstützen einen unzulässigen Parameter.  ## Invalid argument was supplied in LocalAddress property.
Die Verbindung kann lokal nicht erstellt werden.  ## Channel cannot be created by local side.
Die Verbindung kann lokal nicht gestartet werden.  ## Channel cannot be started by local side.
Die Verbindung wurde vom Remotehost abgelehnt.  ## Channel refused by remote side.
Eine nicht unterstützte Protokollversion.  ## Unsupported remote protocol version.
wodVNC verbindung konnte jetzt nicht gestartet werden. Zuerst starten.  ## wodVPN not yet started. Use Start first.
Verbindung wurde beendet.  ## Channel was closed.
MTU Wert zu gross.  ## MTU size too large.
MTU Wert zu klein.  ## MTU size too small.
Unzulässige Verbindungsanfrage  ## Invalid socks request.
Unzulässiges Passwort. Es stimmt nicht mit dem hinterlegten Passwort überein.  ## Invalid password. Does not match remote peer's password.
Die lokale ID ist nicht vergeben. Sie wird für die Suchanfrage benötigt.  ## Local ID not set. It is required for Search method.
Die Remote ID ist nicht vergeben. Sie wird für die Suchanfrage benötigt.  ## Remote ID not set. It is required for Search method.
Die lokale IP Adresse kann nicht verwendet werden.  ## Cannot bind to specified IP address.
Die Datenübertragung besteht bereits.  ## Already performing file transfer.
Datei nicht gefunden.  ## File not found.
Schreibdatei nicht gefunden.  ## Failed to write file.
Kann die Netzwerkkarte nicht finden.  ## Could not open network adapter.
Nur ein Apater kann verwendet werden.  ## Only one adapter can be used at a time.
Der Lizenzschlüssel ist nicht vorhanden. Sie arbeiten im Testmodus.  ## License key missing. You can not use this component in design environment.
Nicht definierter Fehlercode.  ## Unrecognized Error.
Verbindung kann nicht aufgebaut werden. Die Verbindung zuerst trennen.  ## Cannot Connect at this time. Use Disconnect first.
Kann nicht ausgeführt und verbunden werden.  ## Cannot execute, not yet connected.
Komponenten werden verwendet.  ## Component busy.
Die Einstellungen können zurzeit nicht geändert werden. Verbindung zuerst trennen.  ## Cannot change property at this time. Use Disconnect first.
PC-Anmeldeeigenschaften nicht vergeben.  ## Hostname property not set.
Die Einwahleinstellungen nicht definiert.  ## Login property not set.
Kein Passwort gesetzt  ## Password property not set.
Nicht zulässiges XML Paket.  ## Invalid XML packet.
Nicht zulässige ID des XML Paket.  ## Invalid XML packet sequence ID.
Unzulässige Einwahl: %s  ## Invalid login: %s.
Der Kontakt besteht bereits in der Übersicht.  ## Contact already exists in the collection.
SSL Schutz kann nicht aufgebaut werden.  ## SSL could not be negotiated.
Neuer Benutzer konnte nicht registriert werden: %s  ## Failed to register new user: %s.
Unkannter Hinweis.  ## Unknown notification.
Datei nicht gefunden.  ## File not found.
Grafikformat angeben. (PNG/JPG/BMP/GIF)  ## You must specify photo type (PNG/JPG/BMP/GIF).
Grafikimport fehlgeschlagen  ## Failed to import photo.
Eine andere Sperrung Methode wird durchgeführt.  ## Another blocking method in progress.
Unzulässige Protokolldaten wurden entdeckt.  ## Invalid protocol data received.
Es kann nicht gesendet werden. Dateigrösse ist 0.  ## There's nothing to send. File size is 0.
Kontakt nicht gefunden.  ## Contact not found.
Dateifransfer fehlerhaft  ## File transfer failed.
Konnte Datei nicht schreiben.  ## Could not write to file.
Die Prüfsumme der angeforderten Datei ist nicht korrekt.  ## Checksum of received file is invalid.
Übertragung abgebrochen  ## Transfer aborted.
Übertragung unterbrochen  ## Transfer has timed out.
Unzulässiges Protokoll ausgewählt.  ## Invalid protocol selected.
Unzulässiges Status. Komponente bereits aktiv.  ## Invalid state. Component already busy.
Der Name ist nicht eindeutig. Bitte einen anderen Namen vergeben.  ## Name not unique, cannot obtain lock. Please use different UpdaterName.
Vorgang wurde angebrochen.  ## Method was cancelled.
Der Start des Updateprogramms misslang.  ## Failed to start updater program.
Die Signatur des angefragte Dokuments ist unzulässig.  ## Signature on retrieved document is invalid.
Datum nicht vergeben.  ## Date not set.
Die Registrierung an den COM Server ist fehlgeschlagen.  ## Failed to register COM server.
Websitefehler (Fehler 404) wurde vom Server gemeldet.  ## Page not found (error 404) returned from the server.
